["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","TE",1,"port 1",1,"transmission")
1.9654760639285712e+014 2.9810933482146529e-002 9.2076648146703688e-001
1.9680253195238094e+014 2.7341976529799947e-002 1.0672747807984764e+000
1.9705745751190475e+014 2.1404538608028933e-002 1.0670889755897084e+000
1.9731238307142856e+014 1.8818258759101661e-002 7.7157545490654100e-001
1.9756730863095237e+014 2.3549635025288035e-002 5.6919038490608664e-001
1.9782223419047619e+014 2.8993183416831117e-002 6.3851833480074960e-001
1.9807715975000000e+014 3.0448801273821116e-002 7.8638204265366607e-001
1.9833208530952381e+014 2.8110763339438030e-002 8.6691460032334122e-001
1.9858701086904762e+014 2.6014491396372172e-002 7.9260404339805557e-001
1.9884193642857141e+014 2.8447529856739866e-002 6.7530663533177082e-001
1.9909686198809522e+014 3.3692469208794242e-002 6.9572233703499742e-001
1.9935178754761903e+014 3.7327526728670020e-002 8.2105090220489574e-001
1.9960671310714284e+014 3.7466171243899220e-002 9.5562265841730554e-001
1.9986163866666666e+014 3.5400118970853538e-002 1.0244935017204515e+000
("port 1","TE",1,"port 2",1,"transmission")
(50, 3)
1.8737028625000000e+014 4.9535933409793126e-001 2.0042467966430690e+000
1.8762521180952381e+014 5.1006278040603203e-001 2.5758328959147185e+000
1.8788013736904762e+014 5.2419318886573119e-001 3.1493007587365520e+000
1.8813506292857144e+014 5.3703870284856414e-001 3.7238368572391352e+000
1.8838998848809525e+014 5.4843713924983284e-001 4.2977649004951148e+000
1.8864491404761903e+014 5.5919925419118044e-001 4.8700168196839257e+000
1.8889983960714284e+014 5.7025430149137968e-001 5.4416816215407469e+000
1.8915476516666666e+014 5.8143449717923434e-001 6.0145794932825618e+000
1.8940969072619047e+014 5.9186403608235683e-001 6.5892060387722911e+000
1.8966461628571428e+014 6.0078088301230870e-001 7.1647706385051411e+000
1.8991954184523809e+014 6.0802267139434285e-001 7.7397218769728067e+000
1.9017446740476191e+014 6.1435813293930197e-001 8.3129942815891145e+000
1.9042939296428572e+014 6.2075260579041158e-001 8.8852569402668209e+000
1.9068431852380953e+014 6.2730906048338753e-001 9.4581274118677783e+000
1.9093924408333334e+014 6.3326528226333678e-001 1.0032454923937944e+001
1.9119416964285712e+014 6.3779740178160005e-001 1.0607729103999755e+001
1.9144909520238094e+014 6.4064466636180539e-001 1.1182639737645825e+001
1.9170402076190475e+014 6.4238784843207131e-001 1.1756033718635717e+001
1.9195894632142856e+014 6.4402861155378588e-001 1.2328189276804236e+001
1.9221387188095237e+014 6.4583435981243342e-001 1.2900590590080569e+001
1.9246879744047619e+014 6.4716332807219523e-001 1.3474185863449479e+001
1.9272372300000000e+014 6.4721431106623739e-001 1.4048709004888835e+001
1.9297864855952381e+014 6.4564658328917501e-001 1.4622980429711912e+001
1.9323357411904762e+014 6.4294115736304391e-001 1.5195839967159078e+001
1.9348849967857144e+014 6.4001367799195363e-001 1.5767293663080057e+001
1.9374342523809522e+014 6.3732147755214219e-001 1.6338558794551975e+001
1.9399835079761903e+014 6.3441740433475213e-001 1.6910800853359877e+001
1.9425327635714284e+014 6.3050423185526883e-001 1.7484004590633198e+001
1.9450820191666666e+014 6.2516576547346769e-001 1.8057183218516968e+001
1.9476312747619047e+014 6.1868034543592154e-001 1.8629116579240758e+001
1.9501805303571428e+014 6.1190684282223073e-001 1.9199474958758866e+001
1.9527297859523809e+014 6.0540577883807578e-001 1.9769284064698063e+001
1.9552790415476191e+014 5.9892084671656221e-001 2.0339730450260070e+001
1.9578282971428572e+014 5.9177773070648376e-001 2.0911096183628398e+001
1.9603775527380953e+014 5.8348814116831571e-001 2.1482604302947266e+001
1.9629268083333331e+014 5.7419003886641806e-001 2.2053070053958468e+001
1.9654760639285712e+014 5.6454736970932051e-001 2.2621950900871102e+001
1.9680253195238094e+014 5.5516551688366089e-001 2.3189897899370955e+001
1.9705745751190475e+014 5.4599747646732866e-001 2.3758127984046347e+001
1.9731238307142856e+014 5.3648960633945730e-001 2.4327136153179506e+001
1.9756730863095237e+014 5.2617422340557451e-001 2.4896402515951241e+001
1.9782223419047619e+014 5.1502653363618955e-001 2.5464817372084322e+001
1.9807715975000000e+014 5.0357975878024930e-001 2.6031612577789787e+001
1.9833208530952381e+014 4.9241357170264416e-001 2.6597252217541730e+001
1.9858701086904762e+014 4.8158507050293259e-001 2.7162852028147711e+001
1.9884193642857141e+014 4.7069591595342025e-001 2.7729083290727793e+001
1.9909686198809522e+014 4.5929912287884134e-001 2.8295631025461784e+001
1.9935178754761903e+014 4.4730520522515776e-001 2.8861475032382927e+001
1.9960671310714284e+014 4.3506986705391737e-001 2.9425740498350081e+001
1.9986163866666666e+014 4.2312100485088211e-001 2.9988532409188103e+001
("port 2","TE",1,"port 1",1,"transmission")
(50, 3)
1.8737028625000000e+014 4.7463931845368584e-001 2.0169109997891561e+000
